year,state,factor,value,democrat,republican,other,diff,,
2008,National,gender,male,0.49,0.48,0.03,0.01,,
2008,National,gender,female,0.56,0.43,0.01,0.13,,
2008,National,age,18-29,0.66,0.32,0.02,0.34,,
2008,National,age,30-44,0.52,0.46,0.02,0.06,,
2008,National,age,45-64,0.5,0.49,0.01,0.01,,
2008,National,age,65 and older,0.45,0.53,0.02,-0.08,,
2008,National,education,high school or less,0.52,0.46,0.02,0.06,,
2008,National,education,some college,0.51,0.47,0.02,0.04,,
2008,National,education,college graduate,0.5,0.48,0.02,0.02,,
2008,National,education,postgraduate,0.58,0.4,0.02,0.18,,
2008,National,income,under $50k,0.6,0.38,0.02,0.22,,
2008,National,income,$50k-$100k,0.49,0.49,0.02,0,,
2008,National,income,$100k or more,0.49,0.49,0.02,0,,
2008,Arizona,gender,male,0.45,0.53,0.02,-0.08,,
2008,Arizona,gender,female,0.45,0.54,0.01,-0.09,,
2008,Arizona,age,18-29,0.52,0.48,0,0.04,,
2008,Arizona,age,30-44,0.46,0.51,0.03,-0.05,,
2008,Arizona,age,45-64,0.42,0.56,0.02,-0.14,,
2008,Arizona,age,65 and older,0.43,0.56,0.01,-0.13,,
2008,Arizona,education,high school or less,0.43,0.56,0.01,-0.13,,
2008,Arizona,education,some college,0.48,0.51,0.01,-0.03,,
2008,Arizona,education,college graduate,0.43,0.55,0.02,-0.12,,
2008,Arizona,education,postgraduate,0.45,0.55,0,-0.1,,
2008,Arizona,income,under $50k,0.51,0.48,0.01,0.03,,
2008,Arizona,income,$50k-$100k,0.4,0.6,0,-0.2,,
2008,Arizona,income,$100k or more,0.45,0.53,0.02,-0.08,,
2008,California,gender,male,0.58,0.4,0.02,0.18,,
2008,California,gender,female,0.64,0.35,0.01,0.29,,
2008,California,age,18-29,0.76,0.23,0.01,0.53,,
2008,California,age,30-44,0.59,0.39,0.02,0.2,,
2008,California,age,45-64,0.6,0.38,0.02,0.22,,
2008,California,age,65 and older,0.48,0.5,0.02,-0.02,,
2008,California,education,high school or less,0.63,0.33,0.04,0.3,,
2008,California,education,some college,0.59,0.39,0.02,0.2,,
2008,California,education,college graduate,0.58,0.41,0.01,0.17,,
2008,California,education,postgraduate,0.66,0.33,0.01,0.33,,
2008,California,income,under $50k,0.66,0.31,0.03,0.35,,
2008,California,income,$50k-$100k,0.61,0.39,0,0.22,,
