,year,state,question_id,question,opinion,category,total,democrat,republican,other
0,2008,AK,AGE,Vote by Age,0,18-29,21,37,61,2
1,2008,AK,AGE,Vote by Age,0,30-44,31,33,64,3
2,2008,AK,AGE,Vote by Age,0,45-64,37,41,57,2
3,2008,AK,AGE,Vote by Age,0,65 and older,11,38,60,2
4,2008,AK,AGE65,Vote by Age,0,18-24,10,39,60,1
5,2008,AK,AGE65,Vote by Age,0,25-29,11,34,62,4
6,2008,AK,AGE65,Vote by Age,0,30-39,20,36,61,3
7,2008,AK,AGE65,Vote by Age,0,40-49,22,32,66,2
8,2008,AK,AGE65,Vote by Age,0,50-64,26,43,54,3
9,2008,AK,AGE65,Vote by Age,0,65 or over,11,38,60,2
10,2008,AK,AGEBYRACE08,Vote by Age and Race,0,All Others,13,52,46,2
11,2008,AK,AGEBYRACE08,Vote by Age and Race,0,Black 18-29,1,,,
12,2008,AK,AGEBYRACE08,Vote by Age and Race,0,Black 30-44,1,,,
13,2008,AK,AGEBYRACE08,Vote by Age and Race,0,Black 45-64,1,,,
14,2008,AK,AGEBYRACE08,Vote by Age and Race,0,Black 65 and Older,0,,,
15,2008,AK,AGEBYRACE08,Vote by Age and Race,0,Latino 18-29,2,,,
16,2008,AK,AGEBYRACE08,Vote by Age and Race,0,Latino 30-44,2,,,
17,2008,AK,AGEBYRACE08,Vote by Age and Race,0,Latino 45-64,2,,,
18,2008,AK,AGEBYRACE08,Vote by Age and Race,0,Latino 65 and Older,0,,,
19,2008,AK,AGEBYRACE08,Vote by Age and Race,0,White 18-29,15,27,71,2
20,2008,AK,AGEBYRACE08,Vote by Age and Race,0,White 30-44,26,31,66,3
21,2008,AK,AGEBYRACE08,Vote by Age and Race,0,White 45-64,29,36,61,3
22,2008,AK,AGEBYRACE08,Vote by Age and Race,0,White 65 and Older,9,,,
23,2008,AK,BUSH,How George W. Bush is Handling His Job,1,Approve,38,4,95,1
24,2008,AK,BUSH,How George W. Bush is Handling His Job,1,Disapprove,61,58,39,3
25,2008,AK,BUSH4,How George W. Bush is Handling His Job,1,Somewhat Approve,25,5,95,
26,2008,AK,BUSH4,How George W. Bush is Handling His Job,1,Somewhat Disapprove,20,28,69,3
27,2008,AK,BUSH4,How George W. Bush is Handling His Job,1,Strongly Approve,13,2,95,3
28,2008,AK,BUSH4,How George W. Bush is Handling His Job,1,Strongly Disapprove,41,73,24,3
29,2008,AK,EDUC,Vote by Education,0,college graduate,21,40,57,3
30,2008,AK,EDUC,Vote by Education,0,h.s. graduate,21,31,68,1
31,2008,AK,EDUC,Vote by Education,0,no high school,3,,,
32,2008,AK,EDUC,Vote by Education,0,postgraduate,18,53,44,3
33,2008,AK,EDUC,Vote by Education,0,some college,39,34,64,2
34,2008,AK,EDUCHS,Did You Attend College?,0,No,23,30,69,1
35,2008,AK,EDUCHS,Did You Attend College?,0,Yes,77,40,57,3
36,2008,AK,ISSUE08,Most Important Issue,1,Economy,45,39,59,2
37,2008,AK,ISSUE08,Most Important Issue,1,Energy Policy,18,38,59,3
38,2008,AK,ISSUE08,Most Important Issue,1,Health Care,9,52,44,4
39,2008,AK,ISSUE08,Most Important Issue,1,Iraq,14,48,51,1
40,2008,AK,ISSUE08,Most Important Issue,1,Terrorism,10,4,94,2
41,2008,AK,PARTY,Vote by Party ID,0,democrat,20,84,15,1
42,2008,AK,PARTY,Vote by Party ID,0,independent,43,43,52,5
43,2008,AK,PARTY,Vote by Party ID,0,republican,37,6,93,1
44,2008,AK,PARTYWHITE,Vote by Race and Party ID,0,All Others,22,52,46,2
45,2008,AK,PARTYWHITE,Vote by Race and Party ID,0,White Democrats,13,86,13,1
46,2008,AK,PARTYWHITE,Vote by Race and Party ID,0,White Independents,33,39,55,6
47,2008,AK,PARTYWHITE,Vote by Race and Party ID,0,White Republicans,32,5,94,1
48,2008,AK,PHIL3,Vote by Ideology,0,conservative,38,12,85,3
49,2008,AK,PHIL3,Vote by Ideology,0,liberal,15,81,16,3
50,2008,AK,PHIL3,Vote by Ideology,0,moderate,46,44,54,2
51,2008,AK,QLT08,Which Candidate Quality Mattered Most?,1,Can Bring Change,29,73,26,1
52,2008,AK,QLT08,Which Candidate Quality Mattered Most?,1,Cares About People,10,46,52,2
53,2008,AK,QLT08,Which Candidate Quality Mattered Most?,1,Experience,21,6,93,1
54,2008,AK,QLT08,Which Candidate Quality Mattered Most?,1,Shares My Values,36,25,72,3
