year,question_id,opinion,question_id_mapped
2008,EDUCCOLL,0,1951
2008,NECWORR2,1,NECWORR2
2008,NECWORRY,1,NECWORRY
2008,EDUCHS,0,EDUCHS
2008,BUSH,1,BUSH
2008,BUSH4,1,BUSH4
2008,NEWVOTER,0,194
2008,ISSUE08,1,ISSUE08
2008,AGE,0,159
2008,AGE65,0,160
2008,AGEBYRACE08,0,AGEBYRACE08
2008,ATTEND,0,ATTEND
2008,EDUC,0,2305
2008,EDUCWHITE,0,1974
2008,PHIL3,0,251
2008,INC100K,0,INC100K
2008,INC50K,0,682
2008,INCOME07,0,INCOME07
2008,INCOME3,0,1948
2008,INCWHITE,0,INCWHITE
2008,PARTY,0,248
2008,RACE,0,260
2008,PARTYWHITE,0,PARTYWHITE
2008,REL5,0,264
2008,RELIGN8,0,RELIGN8
2008,WHITEREL,0,WHITEREL
2008,SEX,0,279
2008,SEXBYRACE,0,1602
2008,TIME08,0,TIME08
2008,TIME3D08,0,TIME3D08
2008,TIME4,0,TIME4
2008,TIMEWK08,0,TIMEWK08
2008,QLT08,1,QLT08
2008,WHTEVANG,0,WHTEVANG
2012,2882,1,2882
2012,499,1,499
2012,1360,1,1360
2012,2879,0,2879
2012,2874,0,2874
2012,2860,0,2860
2012,2854,0,2854
2012,1951,0,1951
2012,196,0,196
2012,921,0,921
2012,2844,1,2844
2012,2884,1,2884
2012,296,1,296
2012,2875,0,2875
2012,1582,1,1582
2012,2047,1,2047
2012,2887,1,2887
2012,2891,1,2891
2012,1952,1,1952
2012,2847,1,2847
2012,309,0,309
2012,2881,1,2881
2012,2876,1,2876
2012,544,0,544
2012,2900,1,2900
2012,2855,1,2855
2012,2085,1,2085
2012,2115,1,2115
2012,164,0,164
2012,602,0,602
2012,2857,1,2857
2012,2864,1,2864
2012,2877,1,2877
2012,2899,1,2899
2012,187,1,187
2012,2848,1,2848
2012,1250,1,1250
2012,2822,1,2822
2012,2817,1,2817
2012,241,1,241
2012,487,1,487
2012,2886,1,2886
2012,2885,1,2885
2012,2819,1,2819
2012,2323,1,2323
2012,2353,1,2353
2012,2314,1,2314
2012,2332,1,2332
2012,2856,1,2856
