state,year,votes,category,perwt,cat,question_id_mapped,region,respondents,question,democrat,total,democrat_cred,votes_total,votes_dem
AK,2008,327341,0,332888,educ_sel,1951,West,,,,57.941434403255,61,189666.070789959,115696.303181875
AK,2008,327341,1,147307,educ_sel,1951,West,,,,42.058565596745,60,137674.929210041,82604.9575260247
AK,2008,327341,asian,19745,race_sel,260,West,1294,Vote by Race,,2,66.6212867592178,6546.82,4361.57572580982
AK,2008,327341,black,14427,race_sel,260,West,1294,Vote by Race,,3,94,9820.23,9231.0162
AK,2008,327341,latino,21247,race_sel,260,West,1294,Vote by Race,,6,69.4700287699654,19640.46,13644.2332125535
AK,2008,327341,other,82964,race_sel,260,West,1294,Vote by Race,52,11,56.5178568442178,36007.51,20350.6729549674
AK,2008,327341,white,341812,race_sel,260,West,1294,Vote by Race,33,78,33,255325.98,84257.5734
AK,2012,301694,0,340238,educ_sel,1951,West,,,,55.7596957723216,52.2514664484176,168223.656563348,87899.327467499
AK,2012,301694,1,175449,educ_sel,1951,West,,,,44.2403042276784,51.5591607062344,133470.343436652,68816.1888676665
AK,2012,301694,asian,22602,race_sel,260,West,,,,3.624188239307,67.0899254988581,10933.9584666949,7335.58458938167
AK,2012,301694,black,21187,race_sel,260,West,,,,4.32234647405811,93.467974610502,13040.2599714449,12188.4668792536
AK,2012,301694,latino,25759,race_sel,260,West,,,,4.18691558722969,69.7794082440254,12631.6731117368,8814.30674868958
AK,2012,301694,other,92218,race_sel,260,West,,,,16.4538215732189,61.2874948463417,49640.192457107,30423.2303938636
AK,2012,301694,white,353921,race_sel,260,West,,,,71.4127281261863,43.3204519104642,215447.915993016,93333.010839852
AK,2012,301694,0,317793,inc_sel,917,West,,,,62.7689692122751,54.4351320433651,189370.213975281,103083.926028247
AK,2012,301694,1,197894,inc_sel,917,West,,,,37.2310307877249,46.5080258864151,112323.786024719,52239.5754809778
AK,2016,321271,0,346589,educ_sel,1951,West,,,,54.2635286424791,45.8582904562359,174332.981104979,79946.1248361361
AK,2016,321271,1,167079,educ_sel,1951,West,,,,45.7364713575209,52.1881125637589,146938.018895021,76684.1786998908
AK,2016,321271,asian,22277,race_sel,260,West,,,,3.81206800393781,67.1197511664075,12247.068996931,8220.20223591834
AK,2016,321271,black,18334,race_sel,260,West,,,,2.96435418272232,83.6044303797469,9523.61032637381,7962.16016495157
AK,2016,321271,latino,31219,race_sel,260,West,,,,5.99384770184028,61.9943359562884,19256.4944501793,11937.9358628482
AK,2016,321271,other,95213,race_sel,260,West,,,,17.6311323107025,50.3396265134414,56643.7150859172,28514.2346175886
AK,2016,321271,white,346625,race_sel,260,West,,,,69.5985978007971,41.7123031202578,223600.111140599,93268.7561361999
AK,2016,321271,0,314348,inc_sel,917,West,,,,59.2970989138778,53.9602312600793,190504.382651604,102796.605439392
AK,2016,321271,1,199320,inc_sel,917,West,,,,40.7029010861222,48.4340454338749,130766.617348396,63335.5628588634
AL,2008,2105622,0,2537526,educ_sel,1951,South,,,,61.3968138827645,60,1292784.82041454,775670.892248726
AL,2008,2105622,1,922599,educ_sel,1951,South,,,,38.6031861172355,62,812837.179585457,503959.051342983
AL,2008,2105622,asian,20562,race_sel,260,South,1070,Vote by Race,,0,66.6212867592178,0,0
AL,2008,2105622,black,877937,race_sel,260,South,1070,Vote by Race,98,29,98,610630.38,598417.7724
AL,2008,2105622,latino,33617,race_sel,260,South,1070,Vote by Race,,4,60.4642962962963,33617,20326.2824859259
AL,2008,2105622,other,49866,race_sel,260,South,1070,Vote by Race,,1,70.071427376871,21056.22,14754.3939056142
AL,2008,2105622,white,2478143,race_sel,260,South,1070,Vote by Race,10,65,10,1368654.3,136865.43
AL,2012,2074338,0,2579266,educ_sel,1951,South,1020,Are You a College Graduate?,35,56,35,1161629.28,406570.248
AL,2012,2074338,1,1021370,educ_sel,1951,South,1020,Are You a College Graduate?,38,44,38,912708.72,346829.3136
AL,2012,2074338,asian,22551,race_sel,260,South,1020,Vote by Race,,0,66,0,0
AL,2012,2074338,black,927468,race_sel,260,South,1020,Vote by Race,95,28,95,580814.64,551773.908
AL,2012,2074338,latino,56041,race_sel,260,South,1020,Vote by Race,,2,61.9304985560116,41486.76,25692.957302736
AL,2012,2074338,other,52818,race_sel,260,South,1020,Vote by Race,,2,55.4526033154331,41486.76,23005.4884512258
AL,2012,2074338,white,2541758,race_sel,260,South,1020,Vote by Race,15,68,15,1410549.84,211582.476
AL,2012,2074338,0,2881879,inc_sel,917,South,1020,Vote by Income,39,78,39,1617983.64,631013.6196
AL,2012,2074338,1,718757,inc_sel,917,South,1020,Vote by Income,30,22,30,456354.36,136906.308
AL,2016,2123372,0,2575893,educ_sel,1951,South,,,,56.0058201631961,42.7699097371566,1189211.90371566,508624.857802709
AL,2016,2123372,1,1084199,educ_sel,1951,South,,,,43.994179836804,47.6575247973468,934160.096284341,445197.579533629
AL,2016,2123372,asian,28064,race_sel,260,South,,,,0.785781349488733,72,16685.0611562659,12013.2440325114
AL,2016,2123372,black,956778,race_sel,260,South,,,,24.2379869455985,87.7692895887596,514662.628166495,451715.732520572
AL,2016,2123372,latino,62551,race_sel,260,South,,,,1.51420684710889,61.6474876183559,32152.244213593,19821.0507705983
AL,2016,2123372,other,62665,race_sel,260,South,,,,2.76274474436993,56.6608608331314,58663.3483334226,33239.1581592556
AL,2016,2123372,white,2550034,race_sel,260,South,,,,70.6992801134339,29.3983957197616,1501208.71813022,441331.279535483
AL,2016,2123372,0,2835365,inc_sel,917,South,,,,72.3020584925136,48.5656534531744,1535241.66545366,745600.146912966
AL,2016,2123372,1,824727,inc_sel,917,South,,,,27.6979415074864,41.335218022973,588130.334546345,243104.956043972
AR,2008,1095958,0,1616677,educ_sel,1951,South,,,,66.1699768212077,60,725195.154570171,435117.092742103
AR,2008,1095958,1,477958,educ_sel,1951,South,,,,33.8300231787924,62,370762.845429829,229872.964166494
AR,2008,1095958,asian,13831,race_sel,260,South,1321,Vote by Race,,1,66.6212867592178,10959.58,7301.41321940588
AR,2008,1095958,black,309060,race_sel,260,South,1321,Vote by Race,95,12,95.1333852316404,131514.96,125114.633534038
AR,2008,1095958,latino,44230,race_sel,260,South,1321,Vote by Race,,3,60.4642962962963,32878.74,19879.8987720889
AR,2008,1095958,other,39169,race_sel,260,South,1321,Vote by Race,,2,70.071427376871,21919.16,15359.0682810202
AR,2008,1095958,white,1688345,race_sel,260,South,1321,Vote by Race,30,83,30,909645.14,272893.542
AR,2012,1078548,0,1615197,educ_sel,1951,South,,,,63.4291464089307,49.3060325657402,684113.790010593,337309.368089342
AR,2012,1078548,1,547015,educ_sel,1951,South,,,,36.5708535910694,49.521038950776,394434.209989407,195327.91876404
AR,2012,1078548,asian,19038,race_sel,260,South,,,,0.768046258275604,66,8283.74755770636,5467.2733880862
AR,2012,1078548,black,324577,race_sel,260,South,,,,15.0275971055596,95.2362874958726,162079.848030071,154358.830042792
AR,2012,1078548,latino,62995,race_sel,260,South,,,,3.15615441842403,61.9304985560116,34040.640356824,21081.53828464
AR,2012,1078548,other,41248,race_sel,260,South,,,,2.04903622162277,55.4526033154331,22099.839187588,12254.9361580418
AR,2012,1078548,white,1714354,race_sel,260,South,,,,78.999165996118,32.7462617749132,852043.924867811,279012.534074458
AR,2012,1078548,0,1788636,inc_sel,917,South,,,,80.8326467745558,52.2220257290793,871818.895134036,455281.487727871
AR,2012,1078548,1,373576,inc_sel,917,South,,,,19.1673532254442,43.8952672575615,206729.104865964,90744.2930800794
AR,2016,1137772,0,1603883,educ_sel,1951,South,,,,59.7119568194928,42.7699097371566,679385.925344279,290572.747036694
AR,2016,1137772,1,579838,educ_sel,1951,South,,,,40.2880431805072,47.6575247973468,458386.074655721,218455.457196635
AR,2016,1137772,asian,19459,race_sel,260,South,,,,0.904414779427457,72,10290.1781241874,7408.92824941491
AR,2016,1137772,black,336898,race_sel,260,South,,,,14.167029136033,87.7692895887596,161188.490741625,141473.993222768
AR,2016,1137772,latino,65262,race_sel,260,South,,,,2.62244455680408,61.6474876183559,29837.4398828409,18394.0320574087
AR,2016,1137772,other,44583,race_sel,260,South,,,,3.26272141922462,56.6608608331314,37122.3307459403,21033.832161972
AR,2016,1137772,white,1717519,race_sel,260,South,,,,79.0433901085109,29.3983957197616,899333.560505407,264389.638958001
AR,2016,1137772,0,1741451,inc_sel,917,South,,,,74.9354835991264,48.5656534531744,852594.950455452,414068.308997459
AR,2016,1137772,1,442270,inc_sel,917,South,,,,25.0645164008737,41.335218022973,285177.049544548,117878.555180721
AZ,2008,2320851,0,2836326,educ_sel,1951,West,,,,55.9506437727419,61,1298531.07550612,792103.956058733
AZ,2008,2320851,1,1361290,educ_sel,1951,West,,,,44.0493562272581,60,1022319.92449388,613391.954696329
AZ,2008,2320851,asian,78529,race_sel,260,West,1246,Vote by Race,,1,66.6212867592178,23208.51,15461.8079996417
AZ,2008,2320851,black,141941,race_sel,260,West,1246,Vote by Race,,4,94,92834.04,87263.9976
AZ,2008,2320851,latino,766287,race_sel,260,West,1246,Vote by Race,56,16,56,371336.16,207948.2496
AZ,2008,2320851,other,234215,race_sel,260,West,1246,Vote by Race,,4,70.071427376871,92834.04,65050.1369196154
AZ,2008,2320851,white,2976644,race_sel,260,West,1246,Vote by Race,40,75,40,1740638.25,696255.3
AZ,2012,2323579,0,2909615,educ_sel,1951,West,1682,Are You a College Graduate?,44,56,44,1301204.24,572529.8656
AZ,2012,2323579,1,1527310,educ_sel,1951,West,1682,Are You a College Graduate?,42,44,42,1022374.76,429397.3992
AZ,2012,2323579,asian,107331,race_sel,260,West,1682,Vote by Race,,2,67.0899254988581,46471.58,31177.7484001423
AZ,2012,2323579,black,179197,race_sel,260,West,1682,Vote by Race,,4,93.467974610502,92943.16,86872.0891909983
AZ,2012,2323579,latino,902035,race_sel,260,West,1682,Vote by Race,74,18,74,418244.22,309500.7228
AZ,2012,2323579,other,246100,race_sel,260,West,1682,Vote by Race,,2,61.2874948463417,46471.58,28481.2671975136
AZ,2012,2323579,white,3002262,race_sel,260,West,1682,Vote by Race,32,74,32,1719448.46,550223.5072
AZ,2012,2323579,0,3436169,inc_sel,917,West,1682,Vote by Income,44,77,44,1789155.83,787228.5652
AZ,2012,2323579,1,1000756,inc_sel,917,West,1682,Vote by Income,43,23,43,534423.17,229801.9631
AZ,2016,2661497,0,3079468,educ_sel,1951,West,1729,Are you a college graduate?,43,49,43,1304133.53,560777.4179
AZ,2016,2661497,1,1639946,educ_sel,1951,West,1729,Are you a college graduate?,46,51,46,1357363.47,624387.1962
AZ,2016,2661497,asian,115947,race_sel,260,West,1729,Race,,2,67.1197511664075,53229.94,35727.803274028
AZ,2016,2661497,black,196546,race_sel,260,West,1729,Race,,2,83.6044303797469,53229.94,44502.588128481
AZ,2016,2661497,latino,1042587,race_sel,260,West,1729,Race,61,15,61.2485839890721,399224.55,244519.383811745
AZ,2016,2661497,other,271467,race_sel,260,West,1729,Race,,5,50.3396265134414,133074.85,66989.3824733224
AZ,2016,2661497,white,3092867,race_sel,260,West,1729,Race,40,75,40,1996122.75,798449.1
