year,state,state_po,candidate,party,candidatevotes
1976,Alabama,AL,"Carter, Jimmy",democrat,659170
1976,Alabama,AL,"Ford, Gerald",republican,504070
1980,Alabama,AL,"Reagan, Ronald",republican,654192
1980,Alabama,AL,"Carter, Jimmy",democrat,636730
1984,Alabama,AL,"Reagan, Ronald",republican,872849
1984,Alabama,AL,"Mondale, Walter",democrat,551899
1988,Alabama,AL,"Bush, George H.W.",republican,815576
1988,Alabama,AL,"Dukakis, Michael",democrat,549506
1992,Alabama,AL,"Bush, George H.W.",republican,804283
1992,Alabama,AL,"Clinton, Bill",democrat,690080
1996,Alabama,AL,"Dole, Robert",republican,769044
1996,Alabama,AL,"Clinton, Bill",democrat,662165
2000,Alabama,AL,"Bush, George W.",republican,941173
2000,Alabama,AL,"Gore, Al",democrat,692611
2004,Alabama,AL,"Bush, George W.",republican,1176394
2004,Alabama,AL,"Kerry, John",democrat,693933
2008,Alabama,AL,"McCain, John",republican,1266546
2008,Alabama,AL,"Obama, Barack H.",democrat,813479
2012,Alabama,AL,"Romney, Mitt",republican,1255925
2012,Alabama,AL,"Obama, Barack H.",democrat,795696
2016,Alabama,AL,"Trump, Donald J.",republican,1318255
2016,Alabama,AL,"Clinton, Hillary",democrat,729547
1976,Alaska,AK,"Ford, Gerald",republican,71555
1976,Alaska,AK,"Carter, Jimmy",democrat,44058
1980,Alaska,AK,"Reagan, Ronald",republican,86112
1980,Alaska,AK,"Carter, Jimmy",democrat,41842
1984,Alaska,AK,"Reagan, Ronald",republican,138377
1984,Alaska,AK,"Mondale, Walter",democrat,62007
1988,Alaska,AK,"Bush, George H.W.",republican,119251
1988,Alaska,AK,"Dukakis, Michael",democrat,72584
1992,Alaska,AK,"Bush, George H.W.",republican,102000
1992,Alaska,AK,"Clinton, Bill",democrat,78294
1996,Alaska,AK,"Dole, Robert",republican,122746
1996,Alaska,AK,"Clinton, Bill",democrat,80380
2000,Alaska,AK,"Bush, George W.",republican,167398
2000,Alaska,AK,"Gore, Al",democrat,79004
2004,Alaska,AK,"Bush, George W.",republican,190889
2004,Alaska,AK,"Kerry, John",democrat,111025
2008,Alaska,AK,"McCain, John",republican,193841
2008,Alaska,AK,"Obama, Barack H.",democrat,123594
2012,Alaska,AK,"Romney, Mitt",republican,164676
2012,Alaska,AK,"Obama, Barack H.",democrat,122640
2016,Alaska,AK,"Trump, Donald J.",republican,163387
2016,Alaska,AK,"Clinton, Hillary",democrat,116454
1976,Arizona,AZ,"Ford, Gerald",republican,418642
1976,Arizona,AZ,"Carter, Jimmy",democrat,295602
1980,Arizona,AZ,"Reagan, Ronald",republican,529688
1980,Arizona,AZ,"Carter, Jimmy",democrat,246843
1984,Arizona,AZ,"Reagan, Ronald",republican,681416
1984,Arizona,AZ,"Mondale, Walter",democrat,333854
1988,Arizona,AZ,"Bush, George H.W.",republican,702541
1988,Arizona,AZ,"Dukakis, Michael",democrat,454029
1992,Arizona,AZ,"Bush, George H.W.",republican,572086
1992,Arizona,AZ,"Clinton, Bill",democrat,543050
1996,Arizona,AZ,"Clinton, Bill",democrat,653288
1996,Arizona,AZ,"Dole, Robert",republican,622073
2000,Arizona,AZ,"Bush, George W.",republican,781652
2000,Arizona,AZ,"Gore, Al",democrat,685341
2004,Arizona,AZ,"Bush, George W.",republican,1104294
2004,Arizona,AZ,"Kerry, John",democrat,893524
2008,Arizona,AZ,"McCain, John",republican,1230111
2008,Arizona,AZ,"Obama, Barack H.",democrat,1034707
2012,Arizona,AZ,"Romney, Mitt",republican,1233654
2012,Arizona,AZ,"Obama, Barack H.",democrat,1025232
2016,Arizona,AZ,"Trump, Donald J.",republican,1252401
2016,Arizona,AZ,"Clinton, Hillary",democrat,1161167
2016,Arizona,AZ,,democrat,42
1976,Arkansas,AR,"Carter, Jimmy",democrat,498604
1976,Arkansas,AR,"Ford, Gerald",republican,267903
1980,Arkansas,AR,"Reagan, Ronald",republican,403164
1980,Arkansas,AR,"Carter, Jimmy",democrat,398041
1984,Arkansas,AR,"Reagan, Ronald",republican,534774
1984,Arkansas,AR,"Mondale, Walter",democrat,338646
1988,Arkansas,AR,"Bush, George H.W.",republican,466578
1988,Arkansas,AR,"Dukakis, Michael",democrat,349237
1992,Arkansas,AR,"Clinton, Bill",democrat,505823
1992,Arkansas,AR,"Bush, George H.W.",republican,337324
1996,Arkansas,AR,"Clinton, Bill",democrat,475171
1996,Arkansas,AR,"Dole, Robert",republican,325416
2000,Arkansas,AR,"Bush, George W.",republican,472940
2000,Arkansas,AR,"Gore, Al",democrat,422768
2004,Arkansas,AR,"Bush, George W.",republican,572898
2004,Arkansas,AR,"Kerry, John",democrat,469953
2008,Arkansas,AR,"McCain, John",republican,638017
2008,Arkansas,AR,"Obama, Barack H.",democrat,422310
2012,Arkansas,AR,"Romney, Mitt",republican,647744
2012,Arkansas,AR,"Obama, Barack H.",democrat,394409
2016,Arkansas,AR,"Trump, Donald J.",republican,684872
2016,Arkansas,AR,"Clinton, Hillary",democrat,380494
1976,California,CA,"Ford, Gerald",republican,3882244
1976,California,CA,"Carter, Jimmy",democrat,3742284
1980,California,CA,"Reagan, Ronald",republican,4522994
